,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Te Anau,NZ,-45.4167,167.7167,75.29,39,0,4.38,clear sky
140,Pitea,SE,65.3172,21.4794,14.0,92,75,13.8,broken clouds
141,Ilheus,BR,-14.7889,-39.0494,82.4,83,40,5.75,scattered clouds
142,Wuwei,CN,37.9281,102.6414,28.17,69,8,3.89,clear sky
143,Sri Aman,MY,1.2376,111.4621,77.0,100,40,1.43,scattered clouds
144,Zabaykalsk,RU,49.6333,117.3167,-9.94,88,99,6.51,overcast clouds
145,New Norfolk,AU,-42.7826,147.0587,66.99,49,74,3.0,broken clouds
146,Sassandra,CI,4.95,-6.0833,78.37,91,2,7.74,clear sky
147,Muborak,UZ,39.2553,65.1528,51.15,78,100,1.41,overcast clouds
148,East London,ZA,-33.0153,27.9116,74.55,87,74,14.99,light rain
149,Colares,PT,38.7992,-9.4469,52.0,76,47,20.0,scattered clouds
150,Innisfail,AU,-17.5333,146.0333,86.83,68,100,3.69,overcast clouds
151,Pocinhos,BR,-7.0767,-36.0611,75.2,83,0,12.66,clear sky
152,Tabuk,PH,17.4189,121.4443,76.59,79,7,2.42,clear sky
153,Ashland,US,40.8167,-82.2665,15.01,62,1,3.4,clear sky
154,Nador,MA,35.174,-2.9287,55.4,71,0,8.05,clear sky
155,Nikolskoye,RU,59.7035,30.7861,10.4,79,75,17.9,snow
156,Chapais,CA,49.7834,-74.8492,12.2,79,40,11.5,scattered clouds
157,Mahebourg,MU,-20.4081,57.7,77.0,83,40,4.61,light rain
158,Bubaque,GW,11.2833,-15.8333,78.8,54,5,22.15,clear sky
159,Gurupa,BR,-1.405,-51.64,76.8,84,0,4.21,clear sky
160,Codrington,AU,-38.2667,141.9667,60.17,67,100,11.7,overcast clouds
161,Mackay,AU,-21.15,149.2,90.0,70,40,10.36,scattered clouds
162,Thompson,CA,55.7435,-97.8558,-27.4,68,75,13.8,snow
163,Deep River,CA,46.1001,-77.4995,15.8,73,40,4.61,scattered clouds
164,Coos Bay,US,43.3665,-124.2179,53.01,87,90,4.61,overcast clouds
165,Sambava,MG,-14.2667,50.1667,74.73,90,100,4.68,overcast clouds
166,The Valley,AI,18.217,-63.0578,78.8,83,40,11.5,scattered clouds
167,Santa Maria Del Oro,MX,25.9333,-105.3667,61.29,27,13,11.48,few clouds
168,Grindavik,IS,63.8424,-22.4338,32.0,64,0,19.57,clear sky
169,Maitum,PH,6.0392,124.4986,82.4,69,75,6.91,broken clouds
170,Fairlie,GB,55.756,-4.8556,36.0,84,75,7.0,broken clouds
171,Manono,CD,-7.3,27.4167,69.66,93,100,0.76,overcast clouds
172,Sembe,CG,1.6481,14.5806,74.75,77,89,4.5,overcast clouds
173,La Paz,BO,-16.5,-68.15,48.2,71,75,6.91,broken clouds
174,Aksarka,RU,66.5606,67.7975,-34.17,82,100,21.45,overcast clouds
175,Camacha,PT,33.0833,-16.3333,59.0,63,40,12.66,scattered clouds
176,Longyearbyen,SJ,78.2186,15.6401,15.8,86,75,12.66,broken clouds
177,Lavrentiya,RU,65.5833,-171.0,-9.15,79,0,0.63,clear sky
178,Carupano,VE,10.6678,-63.2585,74.91,85,100,12.39,overcast clouds
179,Monrovia,LR,6.3005,-10.7969,75.2,100,20,8.75,few clouds
180,Madang,PG,-5.2246,145.7966,83.07,73,94,4.12,overcast clouds
181,Mpika,ZM,-11.8343,31.4529,62.49,98,100,4.38,moderate rain
182,Teahupoo,PF,-17.8333,-149.2667,86.0,58,20,13.8,light rain
183,Santarem,BR,-2.4431,-54.7083,77.0,88,0,2.3,clear sky
184,Sakakah,SA,29.9697,40.2064,46.4,66,0,11.5,clear sky
185,Dodola,ET,6.9833,39.1833,51.28,67,1,2.33,clear sky
186,Chokurdakh,RU,70.6333,147.9167,-20.04,86,100,3.49,overcast clouds
187,Kaberamaido,UG,1.7389,33.1594,71.4,28,15,3.98,few clouds
188,Ngerengere,TZ,-6.75,38.1167,75.2,94,75,2.33,broken clouds
189,Airai,TL,-8.9266,125.4092,70.88,79,72,4.38,broken clouds
190,Lagoa,PT,39.05,-27.9833,59.99,91,100,25.81,overcast clouds
191,Nibe,DK,56.9815,9.6392,21.99,79,1,8.05,clear sky
192,Maragogi,BR,-9.0122,-35.2225,77.79,84,100,8.25,overcast clouds
193,Makakilo City,US,21.3469,-158.0858,78.8,44,1,14.97,clear sky
194,Anchorage,US,61.2181,-149.9003,16.0,79,75,4.61,haze
195,Cidreira,BR,-30.1811,-50.2056,68.4,76,57,5.75,broken clouds
196,Mattru,SL,7.6244,-11.8332,75.47,81,64,1.28,broken clouds
197,Cabo San Lucas,MX,22.8909,-109.9124,71.01,60,20,8.05,few clouds
198,Sungairaya,ID,0.7,108.9,81.39,78,69,4.94,broken clouds
199,Inverell,AU,-29.7833,151.1167,84.99,65,3,4.0,clear sky
200,Rennes,FR,48.1667,-1.6667,37.4,93,20,6.91,few clouds
201,Viedma,AR,-40.8135,-62.9967,63.0,69,100,1.01,overcast clouds
202,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,94,75,23.02,broken clouds
203,Thurso,GB,58.5927,-3.5259,35.6,69,75,23.02,broken clouds
204,Jacareacanga,BR,-6.2222,-57.7528,74.43,95,100,1.81,moderate rain
205,Karpogory,RU,64.0019,44.4451,-17.7,85,61,9.69,broken clouds
206,Turkistan,KZ,43.0,68.0,38.48,89,100,3.22,overcast clouds
207,Vostok,RU,46.4856,135.8833,-5.69,89,100,2.98,overcast clouds
208,Carutapera,BR,-1.195,-46.02,78.87,84,31,5.93,scattered clouds
209,Cayenne,GF,4.9333,-52.3333,77.0,100,90,3.44,fog
210,Kintampo,GH,8.0563,-1.7306,78.03,59,22,4.99,few clouds
211,College,US,64.8569,-147.8028,-4.0,71,90,0.89,light snow
212,Hasaki,JP,35.7333,140.8333,54.0,53,20,2.3,few clouds
213,Moerai,PF,-22.4333,-151.3333,81.84,69,1,10.78,clear sky
214,Saldanha,ZA,-33.0117,17.9442,64.4,88,0,6.91,clear sky
215,Matara,LK,5.9485,80.5353,73.67,89,30,4.76,scattered clouds
216,Sitka,US,57.0531,-135.33,33.8,55,40,6.91,scattered clouds
217,Laguna,US,38.421,-121.4238,62.6,48,1,4.61,clear sky
218,Norden,DE,53.6,7.2,28.0,54,100,11.01,overcast clouds
219,Luocheng,CN,29.3848,104.0286,52.38,60,27,0.83,scattered clouds
220,Udachnyy,RU,66.4167,112.4,-36.13,80,1,6.26,clear sky
221,Hami,CN,42.8,93.45,30.76,76,100,6.31,overcast clouds
222,Aswan,EG,24.0934,32.907,56.37,61,0,5.5,clear sky
223,Palauig,PH,15.435,119.9045,82.99,65,0,0.72,clear sky
224,Bartica,GY,6.4,-58.6167,75.2,94,20,6.91,few clouds
225,Senanga,ZM,-16.1167,23.2667,69.22,86,100,5.01,light rain
226,Odessa,UA,46.4775,30.7326,26.6,86,90,4.47,light snow
227,Burdur,TR,37.7203,30.2908,35.6,87,0,4.61,clear sky
228,Axim,GH,4.8699,-2.2405,79.36,90,100,8.43,overcast clouds
229,Nantucket,US,41.2835,-70.0995,39.99,70,1,16.11,clear sky
230,San Cristobal,VE,7.7669,-72.225,82.4,65,100,2.3,overcast clouds
231,Gat,IL,31.61,34.7642,55.99,100,0,1.52,clear sky
232,Nhulunbuy,AU,-12.2333,136.7667,86.0,70,40,10.36,scattered clouds
233,Alice Springs,AU,-23.7,133.8833,84.99,26,8,14.97,clear sky
234,Santa Maria,BR,-29.6842,-53.8069,68.0,94,0,1.25,clear sky
235,Montepuez,MZ,-13.1256,38.9997,69.8,100,100,3.94,moderate rain
236,Bogovarovo,RU,58.9785,47.0246,-7.28,89,100,10.31,snow
237,Lebu,CL,-37.6167,-73.65,58.32,93,36,2.26,scattered clouds
238,Tromso,NO,69.6496,18.957,27.0,86,75,3.44,light snow
239,Atuona,PF,-9.8,-139.0333,80.13,78,51,19.84,broken clouds
240,Vao,NC,-22.6667,167.4833,78.39,79,2,4.76,clear sky
241,Ilulissat,GL,69.2167,-51.1,24.8,39,0,31.07,light snow
242,Neuquen,AR,-38.9516,-68.0591,78.8,61,0,10.18,clear sky
243,Ahrensburg,DE,53.6833,10.25,26.6,59,0,18.41,clear sky
244,Sorong,ID,-0.8833,131.25,82.17,77,100,1.43,overcast clouds
245,Oranjemund,NA,-28.55,16.4333,65.03,91,88,15.79,overcast clouds
246,Cherskiy,RU,68.75,161.3,-3.33,81,0,4.7,clear sky
247,Waddan,LY,29.1614,16.139,64.04,27,100,8.01,overcast clouds
248,Jalu,LY,29.0331,21.5482,58.21,42,0,8.34,clear sky
249,Alihe,CN,50.5667,123.7167,-9.35,83,0,2.98,light snow
