City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,General Roca,AR,2021-02-06 19:10:42,-39.0333,-67.5833,302.15,39,0,2.57
161,Moose Factory,CA,2021-02-06 19:10:00,51.2585,-80.6094,256.15,65,90,7.72
162,Bud,US,2021-02-06 19:10:42,39.447,-86.1758,269.26,50,1,1.74
163,Thompson,CA,2021-02-06 19:10:42,55.7435,-97.8558,238.15,61,75,6.69
164,Sola,VU,2021-02-06 19:10:42,-13.8833,167.55,297.15,100,20,2.47
165,Moengo,SR,2021-02-06 19:10:42,5.6167,-54.4,299.41,87,89,2.96
166,Vardo,NO,2021-02-06 19:10:42,70.3705,31.1107,269.15,74,40,10.29
167,Ust-Nera,RU,2021-02-06 19:10:43,64.5667,143.2,242.13,76,69,2.17
168,Lebu,CL,2021-02-06 19:10:43,-37.6167,-73.65,290.26,78,47,3.14
169,Cache Creek,CA,2021-02-06 19:10:43,50.8101,-121.3246,272.04,93,90,5.66
170,Asasa,ET,2021-02-06 19:06:30,7.1,39.2,287.76,58,57,2.39
171,Hithadhoo,MV,2021-02-06 19:10:43,-0.6,73.0833,300.61,77,96,6.58
172,Bengbu,CN,2021-02-06 19:10:43,32.9408,117.3608,282.34,65,0,1.96
173,Boueni,YT,2021-02-06 19:10:43,-12.9025,45.0761,299.15,83,75,2.57
174,Prince Rupert,CA,2021-02-06 19:10:43,54.3161,-130.3201,277.15,93,90,1.54
175,Tazovskiy,RU,2021-02-06 19:10:19,67.4667,78.7,241.4,86,77,4.82
176,Airai,TL,2021-02-06 19:10:43,-8.9266,125.4092,288.81,100,100,1.02
177,Laguna,US,2021-02-06 19:10:43,38.421,-121.4238,287.04,62,1,1.54
178,Obligado,PY,2021-02-06 19:10:44,-27.0333,-55.6333,302.15,51,0,3.09
179,Kuznechnoye,RU,2021-02-06 19:10:44,61.12,29.8686,262.04,94,78,3.3
180,Impfondo,CG,2021-02-06 19:10:44,1.6381,18.0667,300.52,57,100,0.78
181,Srednekolymsk,RU,2021-02-06 19:10:44,67.45,153.6833,244.12,84,0,1.62
